ID,Link_length_miles,Imputed
0,6201,0.93,False
1,46277,0.62,False
2,56108,0.99,False
3,56175,0.99,False
4,56771,1.3,False
5,7618,0.93,False
6,16257,1.3,False
7,29030,1.37,False
8,46269,1.06,False
9,6884,0.93,False
10,56091,1.12,False
11,56075,0.62,False
12,46218,1.3,False
13,16176,0.81,False
14,7603,0.43,False
15,37619,0.93,False
16,46107,0.12,False
17,36801,1.18,False
18,46120,0.43,False
19,47607,1.3,False
20,16188,0.68,False
21,16738,1.06,False
22,73562,1.06,False
23,36664,0.5,False
24,16101,0.81,False
25,26902,0.37,False
26,17498,0.68,False
27,37103,1.3,False
28,27663,0.5,False
29,46189,1.3,False
30,7606,0.93,False
31,6802,2.17,False
32,6774,2.61,False
33,17639,0.87,False
34,73444,1.12,False
35,36795,0.19,False
36,17585,0.75,False
37,18471,0.93,False
38,6751,0.19,False
39,26182,0.25,False
40,6266,1.06,False
41,17572,0.99,False
42,73798,0.43,False
43,17007,0.87,False
44,47088,1.24,False
45,46435,0.87,False
46,38590,0.31,False
47,56655,0.62,False
48,26270,1.18,False
49,26889,0.37,False
50,38364,2.11,False
51,7044,0.56,False
52,16744,1.43,False
53,26775,0.25,False
54,36077,0.68,False
55,73797,0.56,False
56,37827,0.31,False
57,36668,1.37,False
58,6752,0.56,False
59,8064,0.99,False
60,16854,1.12,False
61,16100,0.12,False
62,36946,0.68,False
63,6757,0.68,False
64,47661,0.37,False
65,36076,0.31,False
66,16867,0.5,False
67,56234,0.31,False
68,16866,0.87,False
69,56149,1.3,False
70,16758,0.99,False
71,6094,0.56,False
72,17569,0.87,False
73,47662,0.75,False
74,27784,0.37,False
75,46783,0.68,False
76,16252,1.49,False
77,17638,0.56,False
78,36112,1.06,False
79,27612,1.06,False
80,6756,0.5,False
81,7045,0.31,False
82,46432,0.43,False
83,7212,0.19,False
84,26917,0.5,False
85,27661,0.68,False
86,7537,0.43,False
87,27680,2.05,False
88,56739,0.81,False
89,16069,0.75,False
90,27582,0.87,False
91,46812,0.81,False
92,46807,0.81,False
93,37101,0.37,False
94,56512,1.18,False
95,28532,1.06,False
96,57719,1.18,False
97,7607,0.99,False
98,75343,0.25,False
99,28745,0.43,False
100,8475,0.12,False
101,28521,0.31,False
102,16177,0.37,False
103,46813,0.93,False
104,28507,0.06,False
105,26278,0.5,False
106,16735,0.5,False
107,47874,0.37,False
108,6426,0.5,False
109,37663,0.19,False
110,73446,0.68,False
111,8707,1.55,False
112,47786,0.5,False
113,57670,4.41,False
114,73564,1.43,False
115,26784,0.87,False
116,56089,0.62,False
117,6252,1.18,False
118,56270,0.68,False
119,46785,0.5,False
120,46155,0.56,False
121,6428,0.68,False
122,6801,0.81,False
123,38434,0.62,False
124,28384,1.18,False
125,56763,0.93,False
126,16764,0.31,False
127,47669,0.56,False
128,17691,0.31,False
129,6636,0.56,False
130,7540,0.99,False
131,48161,0.56,False
132,36675,0.99,False
133,47269,0.56,False
134,56742,4.72,False
135,26664,0.99,False
136,26647,0.43,False
137,56815,0.37,False
138,8506,0.25,False
139,16736,0.25,False
140,7605,0.81,False
141,36666,0.43,False
142,36277,0.62,False
143,6242,0.99,False
144,6120,0.56,False
145,17171,0.81,False
146,36792,0.62,False
147,56849,0.87,False
148,26430,0.19,False
