ID,total,slight,serious,neigh,Road_name,Road_name2,h,Day_of_Week,m,Speed_limit,Junction_Detail,Junction_Control,Pedestrian_Crossing-Physical_Facilities,aadf_Road_name,aadf_Road_category,aadf_Road_type,distance_to_cp,aadf_Pedal_cycles,aadf_All_motor_vehicles,aadf_All_HGVs,aadf_LGVs,aadf_Buses_and_coaches,total_norm,serious_ratio,N_year,Year_start,Year_end,Max_year_gap
14,46189,104,87,17,15,A10,C,9,6,5,30,3,2,5,A10,PA,Major,5.0940350979358895e-05,2044.9711538461538,17539.71153846154,866.0769230769231,2527.778846153846,1325.6442307692307,0.050856463087216766,0.16346153846153846,22,2000,2021,1
15,17639,102,93,9,6,A4202,A4202,18,5,5,30,3,4,0,A4202,PA,Major,5.5153083575042854e-05,840.0392156862745,92955.74509803922,2593.607843137255,11954.460784313726,5310.529411764706,0.12142290275897484,0.08823529411764706,22,2000,2021,1
16,18471,97,86,11,4,A200,U,9,3,5,30,3,4,0,A200,PA,Major,4.577617025706557e-05,2308.134020618557,25506.0412371134,1037.7319587628865,4030.2886597938145,708.8247422680413,0.04202528931747428,0.1134020618556701,22,2000,2021,1
17,6751,97,77,20,8,A201,C,9,5,1,30,3,2,5,A201,PA,Major,1.3843017899747439e-05,7442.1752577319585,41834.30927835051,1479.4123711340205,6421.278350515464,1263.4432989690722,0.0130338236658997,0.20618556701030927,22,2000,2021,1
18,26182,97,90,7,14,A10,U,19,5,10,30,3,4,0,A10,PA,Major,2.3815498695416012e-05,3106.721649484536,14300.484536082475,520.0412371134021,2912.938144329897,1498.2164948453608,0.031222623377312908,0.07216494845360824,22,2000,2021,1
19,17572,96,74,22,1,A3212,U,8,2,6,30,3,4,0,A3212,PA,Major,4.6551638142662365e-05,4861.552083333333,33534.5,1469.3854166666667,5881.625,390.7395833333333,0.019746780113518277,0.22916666666666666,22,2000,2021,1
20,16101,94,85,9,1,A3,U,8,4,9,30,3,4,0,A3,PA,Major,3.350855860374061e-05,4419.510638297872,20213.468085106382,698.6914893617021,3508.8829787234044,602.0425531914893,0.02126932316565327,0.09574468085106383,22,2000,2021,1
21,26889,86,72,14,7,A301,A3200,9,6,7,30,1,4,0,A301,PA,Major,2.0804457737428662e-05,3677.4418604651164,19861.511627906977,554.3604651162791,2547.4418604651164,3232.3837209302324,0.023385821792196292,0.16279069767441862,22,2000,2021,1
22,7044,85,78,7,13,A400,U,19,4,6,30,3,4,0,A400,PA,Major,4.4893263547532124e-05,1931.6470588235295,33076.529411764706,1146.5529411764705,4955.823529411765,1768.0588235294117,0.04400389792313782,0.08235294117647059,22,2000,2021,1
23,27666,83,74,9,0,A3216,U,18,4,9,30,1,4,0,A3216,PA,Major,6.660338640220578e-05,2945.879518072289,28183.421686746988,1533.2289156626507,5424.481927710844,1340.433734939759,0.02817494724099007,0.10843373493975904,18,2000,2017,1
24,26775,83,72,11,8,A201,C,19,5,4,30,3,4,0,A201,PA,Major,2.379152246602409e-05,3416.397590361446,30242.819277108432,1006.4096385542168,6028.277108433735,991.7469879518072,0.024294596224445533,0.13253012048192772,22,2000,2021,1
25,37827,82,72,10,13,A401,U,19,3,4,30,3,4,0,A401,PA,Major,1.5729313576587807e-05,6058.341463414634,21657.621951219513,658.1219512195122,3271.609756097561,1807.9634146341464,0.013535057489774228,0.12195121951219512,22,2000,2021,1
26,16854,81,70,11,0,A308,U,8,4,5,30,3,4,0,A308,PA,Major,5.858399540855825e-05,1480.9012345679012,20624.0987654321,592.5802469135803,2446.3703703703704,1164.2345679012346,0.05469642276558319,0.13580246913580246,22,2000,2021,1
27,16100,80,67,13,2,A3,A3,9,2,9,30,1,4,0,A3,PA,Major,1.3594260817041838e-05,2046.2125,16638.1625,595.55,2747.7375,2971.8125,0.039096623640017834,0.1625,22,2000,2021,1
28,47661,79,58,21,7,A3211,na0,19,4,7,30,3,2,5,A3211,PA,Major,3.576980761445859e-05,3263.7974683544303,26863.835443037973,1136.6962025316457,4121.430379746836,700.6962025316456,0.02420493329196401,0.26582278481012656,22,2000,2021,1
29,36076,79,74,5,14,A1,U,9,4,4,30,3,4,0,A1,PA,Major,2.039868568729538e-05,4786.151898734177,24028.772151898735,916.4050632911392,3641.721518987342,3012.3797468354433,0.016505953356995128,0.06329113924050633,22,2000,2021,1
30,56234,78,71,7,2,A23,U,9,2,7,30,3,2,0,A23,PA,Major,3.708965590856405e-05,2768.6666666666665,17618.44871794872,389.97435897435895,2573.397435897436,1243.820512820513,0.028172405490007227,0.08974358974358974,22,2000,2021,1
31,6094,76,68,8,2,A2,A2,9,4,6,30,3,4,0,A2,PA,Major,7.495816161423715e-05,1275.5,12253.013157894737,431.17105263157896,2732.25,395.4736842105263,0.05958447667581341,0.10526315789473684,22,2000,2021,1
32,27784,75,61,14,14,A5201,U,9,5,8,30,6,2,0,A5201,PA,Major,1.8066331776041874e-05,4035.2,18506.76,588.8,3330.9866666666667,888.9466666666667,0.018586439333862014,0.18666666666666668,22,2000,2021,1
33,47662,75,53,22,0,A3212,C,8,3,6,30,3,2,5,A3212,PA,Major,8.050247836533498e-05,3338.6,35205.53333333333,1437.7866666666666,6506.4,349.68,0.02246450608039298,0.29333333333333333,22,2000,2021,1
34,46783,74,61,13,2,A201,U,9,4,6,30,3,4,0,A201,PA,Major,3.819127672958773e-05,2677.5405405405404,38468.75675675676,1682.4324324324325,7104.486486486487,2782.0135135135133,0.02763730329366401,0.17567567567567569,22,2000,2021,1
35,17638,74,69,5,7,A4201,C,18,5,9,30,3,2,5,A4201,PA,Major,4.673700551527547e-05,1446.3918918918919,19624.432432432433,678.418918918919,2842.9054054054054,3404.0135135135133,0.05116179122326759,0.06756756756756757,22,2000,2021,1
36,7671,73,63,10,13,A4200,A4200,9,5,7,30,6,2,5,A4200,PA,Major,3.317208801063001e-05,1669.4383561643835,17618.04109589041,960.7397260273973,2891.4246575342468,1480.5753424657535,0.043727280932804896,0.136986301369863,18,2000,2017,1
37,46432,72,63,9,8,A40,C,18,5,5,30,3,4,0,A40,PA,Major,1.324551977056298e-05,4220.055555555556,25925.375,619.4722222222222,2549.277777777778,1644.6805555555557,0.017061386764260607,0.125,22,2000,2021,1
38,7537,71,67,4,14,A1200,U,9,4,5,30,3,4,1,A1200,PA,Major,4.128116215316312e-05,1927.380281690141,17204.056338028167,702.5352112676056,2750.957746478873,300.28169014084506,0.0368375668644588,0.056338028169014086,22,2000,2021,1
39,80388,70,64,6,15,A1208,B118,9,2,7,30,3,4,0,A1208,PA,Major,2.9694389559874983e-05,2871.157142857143,16914.871428571427,872.4571428571429,3549.042857142857,1009.4571428571429,0.024380414068991597,0.08571428571428572,16,2006,2021,1
40,27582,69,58,11,16,A1205,B118,8,3,10,30,1,4,0,A1205,PA,Major,3.0411232086845806e-05,869.0869565217391,14339.101449275362,280.39130434782606,2198.8260869565215,505.84057971014494,0.07939366651658412,0.15942028985507245,22,2000,2021,1
41,37101,66,54,12,13,A400,A400,9,3,8,30,6,2,5,A400,PA,Major,4.32262982581134e-05,3696.9545454545455,24991.21212121212,992.7575757575758,4505.757575757576,1047.090909090909,0.017852532182508943,0.18181818181818182,22,2000,2021,1
