ID,total,slight,serious,neigh,Road_name,Road_name2,h,Day_of_Week,m,Speed_limit,Junction_Detail,Junction_Control,Pedestrian_Crossing-Physical_Facilities,bikelane,aadf_Road_name,aadf_Road_category,aadf_Road_type,aadf_CLT_CARR,aadf_CLT_SEGREG,aadf_CLT_STEPP,aadf_CLT_PARSEG,aadf_CLT_SHARED,aadf_CLT_MANDAT,aadf_CLT_ADVIS,aadf_CLT_PRIORI,aadf_CLT_CONTRA,aadf_CLT_BIDIRE,aadf_CLT_CBYPAS,aadf_CLT_BBYPAS,aadf_CLT_PARKR,aadf_CLT_WATERR,aadf_CLT_PTIME,distance_to_cp,aadf_Pedal_cycles,aadf_All_motor_vehicles,aadf_All_HGVs,aadf_LGVs,aadf_Buses_and_coaches,total_norm,serious_ratio,N_year,Year_start,Year_end,Max_year_gap
22,73562,122,112,10,0,A104,U,18,4,6,30,3,4,0,True,A104,PA,Major,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0.17323048159420376,1153.8360655737704,24912.581967213115,1090.2540983606557,3735.8934426229507,1052.622950819672,0.10573425778586043,0.08196721311475409,22,2000,2021,1
23,36664,122,110,12,14,A104,U,18,4,2,30,3,4,0,True,A104,PA,Major,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0.15713798419668967,2451.8360655737706,17406.89344262295,434.38524590163934,2541.7950819672133,2079.6393442622953,0.04975862852863695,0.09836065573770492,22,2000,2021,1
24,16101,122,109,13,1,A3,U,8,4,9,30,3,4,0,True,A3,PA,Major,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0.21458060374825946,4482.229508196721,20289.82786885246,699.344262295082,3498.1967213114754,606.8934426229508,0.02721859730227931,0.10655737704918032,22,2000,2021,1
25,26902,120,106,14,0,A308,U,8,4,5,30,3,4,0,True,A308,PA,Major,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.16262259170178514,3706.508333333333,29351.858333333334,1020.8583333333333,4502.425,719.8416666666667,0.03237548366499468,0.11666666666666667,22,2000,2021,1
26,17498,117,98,19,15,A1208,U,18,4,5,30,3,4,0,True,A1208,PA,Major,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0.19861672663197602,2154.1452991452993,18828.521367521367,905.6239316239316,3754.2820512820513,1022.5555555555555,0.05431388497629297,0.1623931623931624,22,2000,2021,1
27,37103,117,105,12,0,A402,U,18,6,2,30,1,4,0,True,A402,PA,Major,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0.39525004269552744,1499.1965811965813,24344.05982905983,481.4188034188034,3186.3931623931626,771.0769230769231,0.07804180016647093,0.10256410256410256,22,2000,2021,1
28,27663,109,96,13,7,A3212,U,18,3,5,30,3,2,5,True,A3212,PA,Major,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.1703822478804791,2373.1651376146788,23606.61467889908,754.0733944954128,3274.1009174311926,3437.266055045872,0.04593022132018943,0.11926605504587157,22,2000,2021,1
29,46189,107,89,18,15,A10,C,9,6,5,30,3,2,0,True,A10,PA,Major,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0.20400189851207973,2042.9158878504672,17532.48598130841,862.0747663551402,2531.8130841121497,1323.0280373831777,0.052376116234811886,0.16822429906542055,22,2000,2021,1
30,7606,107,89,18,0,A3217,U,19,4,3,30,3,4,0,False,A3217,PA,Major,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.1873784756826087,2364.8598130841124,21309.635514018693,450.68224299065423,2448.542056074766,1122.3084112149534,0.04524581093898197,0.16822429906542055,22,2000,2021,1
31,6802,105,91,14,0,A235,U,8,5,10,30,3,4,0,True,A235,PA,Major,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0.6048698588522353,217.95238095238096,21261.733333333334,501.73333333333335,2376.3809523809523,818.8952380952381,0.4817566091326196,0.13333333333333333,22,2000,2021,1
