ID,total,slight,serious,neigh,Road_name,Road_name2,h,Day_of_Week,m,Speed_limit,Junction_Detail,Junction_Control,Pedestrian_Crossing-Physical_Facilities,bikelane,aadf_Road_name,aadf_Road_category,aadf_Road_type,aadf_CLT_CARR,aadf_CLT_SEGREG,aadf_CLT_STEPP,aadf_CLT_PARSEG,aadf_CLT_SHARED,aadf_CLT_MANDAT,aadf_CLT_ADVIS,aadf_CLT_PRIORI,aadf_CLT_CONTRA,aadf_CLT_BIDIRE,aadf_CLT_CBYPAS,aadf_CLT_BBYPAS,aadf_CLT_PARKR,aadf_CLT_WATERR,aadf_CLT_PTIME,aadf_Link_length_miles,distance_to_cp,aadf_Pedal_cycles,aadf_All_motor_vehicles,aadf_All_HGVs,aadf_LGVs,aadf_Buses_and_coaches,total_dnorm,total_dnorm_bvnorm,serious_ratio,N_year,Year_start,Year_end,Max_year_gap
14,7603,139,128,11,1,A3212,B323,9,3,6,30,1,4,1,True,A3212,PA,Major,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,0.43,0.15901298248633464,5508.3884892086335,24890.776978417267,1050.7985611510792,3708.31654676259,1164.7338129496402,116.05375008092918,4.90897180215793,0.07913669064748201,22,2000,2021,1
15,37619,139,121,18,15,A1209,U,19,5,7,30,3,4,0,True,A1209,PA,Major,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,0.93,0.2552516078834354,1484.5755395683452,14772.94964028777,474.67625899280574,2100.94964028777,711.2589928057554,72.29749924834783,11.346891334180937,0.12949640287769784,22,2000,2021,1
16,46107,134,119,15,2,A3,A3,9,3,10,30,1,4,0,True,A3,PA,Major,True,True,False,True,True,False,True,False,False,True,False,True,False,False,True,0.12,0.04855772805410412,5382.582089552238,50421.70895522388,2040.8805970149253,8573.701492537313,4740.119402985075,366.3729500627685,15.859469664256679,0.11194029850746269,22,2000,2021,1
17,36801,134,110,24,0,A205,U,8,4,4,30,3,4,0,True,A205,PA,Major,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,1.18,0.3670678149105446,837.7313432835821,20989.31343283582,869.6343283582089,3089.5746268656717,489.24626865671644,48.46580755074729,13.47989811991726,0.1791044776119403,22,2000,2021,1
18,46120,133,112,21,6,A4,A4,18,4,6,30,3,2,0,True,A4,PA,Major,True,True,True,True,True,False,True,False,True,True,False,False,True,False,True,0.43,0.19582036776418485,1860.3157894736842,54735.83458646617,1780.9172932330828,6629.195488721804,3644.0150375939847,90.17180034141681,11.293797321095802,0.15789473684210525,22,2000,2021,1
19,47607,133,116,17,0,A2217,U,8,5,7,30,3,4,0,True,A2217,PA,Major,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.3,0.35436064217836627,575.8872180451128,13570.578947368422,492.8872180451128,1890.8947368421052,890.6315789473684,49.82910911400555,20.160514176673033,0.12781954887218044,22,2000,2021,1
20,16188,130,109,21,9,A11,U,18,3,9,30,3,4,0,True,A11,PA,Major,True,True,False,False,True,True,True,True,True,False,False,True,False,False,True,0.68,0.09128807836999413,1663.1846153846154,21053.084615384614,1337.1076923076923,2930.646153846154,1542.576923076923,189.06287108732923,26.486325424048406,0.16153846153846155,22,2000,2021,1
21,16738,128,116,12,0,A202,U,8,4,7,30,3,4,0,True,A202,PA,Major,True,False,False,False,True,True,True,True,True,False,False,False,False,False,True,1.06,0.1874973467228453,2353.828125,22976.734375,767.2265625,3546.4375,1888.1640625,90.63413721992607,8.971663541594728,0.09375,22,2000,2021,1
22,73562,122,112,10,0,A104,U,18,4,6,30,3,4,0,True,A104,PA,Major,True,False,True,True,True,False,True,True,False,True,False,False,False,False,True,1.06,0.17323048159420376,1153.8360655737704,24912.581967213115,1090.2540983606557,3735.8934426229507,1052.622950819672,93.50018702202236,18.88096951216191,0.08196721311475409,22,2000,2021,1
23,36664,122,110,12,14,A104,U,18,4,2,30,3,4,0,True,A104,PA,Major,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,0.5,0.15713798419668967,2451.8360655737706,17406.89344262295,434.38524590163934,2541.7950819672133,2079.6393442622953,103.07553905425667,9.795353342280459,0.09836065573770492,22,2000,2021,1
